id,constituency_no,constituency_name,district_name,candidate_name,party_code,party_name,votes_received,total_votes,vote_percentage,margin,status,state_code,state_name
1,34,Abhayapuri North,Bongaigaon,Abdul Batin Khandakar,INC,Indian National Congress,158192,158192,94.2,32781,Won,18,Assam
2,35,Abhayapuri South,Bongaigaon,Pradip Sarkar,INC,Indian National Congress,183417,183417,94.4,47085,Won,18,Assam
3,8,Algapur,Hailakandi,Nijam Uddin Choudhury,AIUDF,All India United Democratic Front,134584,134584,88.3,17604,Won,18,Assam
4,103,Amguri,Sibsagar,Prodip Hazarika,AGP,Asom Gana Parisad,102571,102571,85,6179,Won,18,Assam
5,5,Badarpur,Karimganj,Abdul Aziz,AIUDF,All India United Democratic Front,129786,129786,84.1,23948,Won,18,Assam
6,45,Baghbar,Barpeta,Sherman Ali Ahmed,INC,Indian National Congress,150536,150536,97.1,13942,Won,18,Assam
7,20,Baithalangso,Karbi Anglong,Rupsing Teron,BJP,Bharatiya Janta Party,161030,161030,80.3,53437,Won,18,Assam
8,62,Barama,Nalbari,Bhupen Baro,UPPL,United Peoples Party Liberal,131255,131255,80.9,23772,Won,18,Assam
9,87,Barhampur,Nagaon,Jitu Goswami,BJP,Bharatiya Janta Party,142666,142666,81.8,751,Won,18,Assam
10,60,Barkhetri,Nalbari,Diganta Barman,INC,Indian National Congress,172578,172578,93.5,4054,Won,18,Assam
11,14,Barkhola,Cachar,Misbahul Islam Laskar,INC,Indian National Congress,123349,123349,86.3,7031,Won,18,Assam
12,43,Barpeta,Barpeta,Abdur Rahim Ahmed,INC,Indian National Congress,180265,180265,91.4,44719,Won,18,Assam
13,84,Batadroba,Nagaon,Sibamoni Bora,INC,Indian National Congress,139348,139348,90.4,32820,Won,18,Assam
14,41,Bhabanipur,Barpeta,Phanidhar Talukdar,AIUDF,All India United Democratic Front,124566,124566,88.5,3227,Won,18,Assam
15,77,Behali,Sonitpur,Ranjit Dutta,BJP,Bharatiya Janta Party,102201,102201,85.1,29839,Won,18,Assam
16,109,Bihpuria,Lakhimpur,Dr. Amiya Kumar Bhuyan,BJP,Bharatiya Janta Party,120712,120712,82.7,10178,Won,18,Assam
17,33,Bijni,Bongaigaon,Ajoy Kumar Ray,BJP,Bharatiya Janta Party,138527,138527,91.1,1003,Won,18,Assam
18,27,Bilasipara East,Dhubri,Samsul Huda,AIUDF,All India United Democratic Front,194036,194036,93,49300,Won,18,Assam
19,26,Bilasipara West,Dhubri,Hafiz Bashir Ahmed,AIUDF,All India United Democratic Front,159886,159886,96.8,59758,Won,18,Assam
20,76,Biswanath,Sonitpur,Promod Borthakur,BJP,Bharatiya Janta Party,138379,138379,87.9,9210,Won,18,Assam
21,17,Bokajan,Karbi Anglong,Numal Momin,BJP,Bharatiya Janta Party,117361,117361,83.1,17885,Won,18,Assam
22,93,Bokakhat,Golaghat,Atul Bora,AGP,Asom Gana Parisad,117945,117945,83.5,45181,Won,18,Assam
23,48,Boko,Kamrup,Nandita Das,INC,Indian National Congress,201331,201331,92.9,52466,Won,18,Assam
24,32,Bongaigaon,Bongaigaon,Phani Bhusan Choudhury,AGP,Asom Gana Parisad,151451,151451,87.2,38167,Won,18,Assam
25,72,Barchalla,Sonitpur,Ganesh Kumar Limbu,BJP,Bharatiya Janta Party,135172,135172,83.3,17782,Won,18,Assam
26,121,Chabua,Dibrugarh,Ponakan Baruah,AGP,Asom Gana Parisad,126021,126021,83.8,18730,Won,18,Assam
27,63,Chapaguri,Nalbari,Urkhao Gwra Brahma,UPPL,United Peoples Party Liberal,125339,125339,81.2,26739,Won,18,Assam
28,49,Chaygaon,Kamrup,Rekibuddin Ahmed,INC,Indian National Congress,165162,165162,93.1,28044,Won,18,Assam
29,47,Chenga,Barpeta,Ashraful Hussain,AIUDF,All India United Democratic Front,127311,127311,94.3,51939,Won,18,Assam
30,68,Dalgaon,Darrang,Mazibur Rahman,AIUDF,All India United Democratic Front,212683,212683,94.9,55383,Won,18,Assam
31,97,Dergaon,Jorhat,Bhabendra Nath Bharali,AGP,Asom Gana Parisad,130661,130661,80.7,12497,Won,18,Assam
32,112,Dhakuakhana,Lakhimpur,Naba Kumar Doley,BJP,Bharatiya Janta Party,168690,168690,85.7,9596,Won,18,Assam
33,61,Dharmapur,Nalbari,Chandra Mohan Patowary,BJP,Bharatiya Janta Party,119407,119407,85.9,25034,Won,18,Assam
34,71,Dhekiajuli,Sonitpur,Ashok Singhal,BJP,Bharatiya Janta Party,162251,162251,79.5,35070,Won,18,Assam
35,113,Dhemaji,Dhemaji,Ranoj Pegu,BJP,Bharatiya Janta Party,191769,191769,80.4,30792,Won,18,Assam
36,83,Dhing,Nagaon,Aminul Islam,AIUDF,All India United Democratic Front,205424,205424,95.7,102967,Won,18,Assam
37,11,Dholai,Cachar,Parimal Sukla Baidya,BJP,Bharatiya Janta Party,148490,148490,84.4,20392,Won,18,Assam
38,23,Dhubri,Dhubri,Nazrul Hoque,AIUDF,All India United Democratic Front,174940,174940,92.9,77813,Won,18,Assam
39,116,Dibrugarh,Dibrugarh,Prasanta Phukan,BJP,Bharatiya Janta Party,111937,111937,79.7,38005,Won,18,Assam
40,123,Digboi,Tinsukia,Suren  Phukan,BJP,Bharatiya Janta Party,104459,104459,77.5,26976,Won,18,Assam
41,19,Diphu,Karbi Anglong,Bidya Sing Engleng,BJP,Bharatiya Janta Party,149974,149974,79,40528,Won,18,Assam
42,52,Dispur,Kamrup Metropolitan,Atul Bora,BJP,Bharatiya Janta Party,300536,300536,77.9,121657,Won,18,Assam
43,125,Doom Dooma,Tinsukia,Rupesh Gowala,BJP,Bharatiya Janta Party,114573,114573,78.9,8138,Won,18,Assam
44,36,Dudhnai,Goalpara,Jadab Swargiary,INC,Indian National Congress,179388,179388,91.3,1276,Won,18,Assam
45,118,Duliajan,Dibrugarh,Terash Gowala,BJP,Bharatiya Janta Party,127124,127124,85,8110,Won,18,Assam
46,78,Gohpur,Sonitpur,Sri Utpal Borah,BJP,Bharatiya Janta Party,161410,161410,84.4,29294,Won,18,Assam
47,53,Gauhati East,Kamrup Metropolitan,Siddhartha Bhattacharya,BJP,Bharatiya Janta Party,167643,167643,73.6,84100,Won,18,Assam
48,54,Gauhati West,Kamrup Metropolitan,Ramendra Narayan Kalita,AGP,Asom Gana Parisad,225789,225789,81.1,78449,Won,18,Assam
49,24,Gauripur,Dhubri,Nizanur Rahman,AIUDF,All India United Democratic Front,181969,181969,92.5,48845,Won,18,Assam
50,37,Goalpara East,Goalpara,Abul Kalam Rasheed Alam,INC,Indian National Congress,193768,193768,94.7,45248,Won,18,Assam
51,38,Goalpara West,Goalpara,Abdur Rashid Mandal,INC,Indian National Congress,156979,156979,96.8,46024,Won,18,Assam
52,95,Golaghat,Golaghat,Ajanta Neog,BJP,Bharatiya Janta Party,159039,159039,82.1,9325,Won,18,Assam
53,25,Golakganj,Dhubri,Abdus Sobahan Ali Sarkar,INC,Indian National Congress,182369,182369,94.9,10699,Won,18,Assam
54,28,Gossaigaon,Kokrajhar,Majendra Narzary,BPF,Bodoland Peoples Front,153995,153995,84.2,10343,Won,18,Assam
55,6,Hailakandi,Hailakandi,Zakir Hussain Laskar,AIUDF,All India United Democratic Front,127773,127773,81.1,23754,Won,18,Assam
56,55,Hajo,Kamrup,Sri Suman Haripriya,BJP,Bharatiya Janta Party,150565,150565,88.6,14368,Won,18,Assam
57,16,Haflong,Dima Hasao,Nandita Gorlosa,BJP,Bharatiya Janta Party,118545,118545,86.2,18598,Won,18,Assam
58,91,Hojai,Nagaon,Ramkrishna Ghosh,BJP,Bharatiya Janta Party,220372,220372,89.6,33782,Won,18,Assam
59,18,Howraghat,Karbi Anglong,Darsing Ronghang,BJP,Bharatiya Janta Party,102567,102567,80.9,31683,Won,18,Assam
60,79,Jagiroad,Marigaon,Pijush Hazarika,BJP,Bharatiya Janta Party,197600,197600,88.5,29404,Won,18,Assam
61,39,Jaleswar,Goalpara,Aftab Uddin Mollah,INC,Indian National Congress,148833,148833,99.3,21980,Won,18,Assam
62,51,Jalukbari,Kamrup Metropolitan,Himanta Biswa Sarma,BJP,Bharatiya Janta Party,166810,166810,85.6,101911,Won,18,Assam
63,90,Jamunamukh,Nagaon,Siraj Uddin Ajmal,AIUDF,All India United Democratic Front,185607,185607,92.1,118560,Won,18,Assam
64,44,Jania,Barpeta,Rafiqul Islam,AIUDF,All India United Democratic Front,183725,183725,97.6,144775,Won,18,Assam
65,114,Jonai,Dhemaji,Bhuban Pegu,BJP,Bharatiya Janta Party,242482,242482,84.8,110987,Won,18,Assam
66,98,Jorhat,Jorhat,Hitendra Nath Goswami,BJP,Bharatiya Janta Party,138179,138179,78.1,6488,Won,18,Assam
67,65,Kalaigaon,Darrang,Durga Das Boro,BPF,Bodoland Peoples Front,146814,146814,83.8,7102,Won,18,Assam
68,89,Kaliabor,Nagaon,Keshab Mahanta,AGP,Asom Gana Parisad,122937,122937,89,28720,Won,18,Assam
69,56,Kamalpur,Kamrup,Diganta Kalita,BJP,Bharatiya Janta Party,148731,148731,84.6,18114,Won,18,Assam
70,3,Karimganj North,Karimganj,Kamalakhya Dey Purkayastha,INC,Indian National Congress,145565,145565,76.8,8324,Won,18,Assam
71,4,Karimganj South,Karimganj,Siddeque Ahmed,INC,Indian National Congress,149295,149295,83.7,32487,Won,18,Assam
72,15,Katigora,Cachar,Khalil Uddin Mazumder,INC,Indian National Congress,161465,161465,92.6,6939,Won,18,Assam
73,7,Katlicherra,Hailakandi,Suzam Uddin Laskar,AIUDF,All India United Democratic Front,153146,153146,88.2,12971,Won,18,Assam
74,96,Khumtai,Golaghat,Mrinal Saikia,BJP,Bharatiya Janta Party,114834,114834,86.6,27133,Won,18,Assam
75,30,Kokrajhar East,Kokrajhar,Lawrence Islary,UPPL,United Peoples Party Liberal,152372,152372,83.8,20095,Won,18,Assam
76,29,Kokrajhar West,Kokrajhar,Rabiram Narzary,BPF,Bodoland Peoples Front,154387,154387,87,12071,Won,18,Assam
77,81,Laharighat,Marigaon,Dr. Asif Mohammad Nazar,INC,Indian National Congress,162296,162296,90.2,2028,Won,18,Assam
78,117,Lahowal,Dibrugarh,Binod Hazarika,BJP,Bharatiya Janta Party,120232,120232,85.8,17248,Won,18,Assam
79,111,Lakhimpur,Lakhimpur,Manab Deka,BJP,Bharatiya Janta Party,155184,155184,86.3,3036,Won,18,Assam
80,13,Lakhipur,Cachar,Kaushik Rai,BJP,Bharatiya Janta Party,122510,122510,78.3,12700,Won,18,Assam
81,92,Lumding,Nagaon,Sibu Misra,BJP,Bharatiya Janta Party,173094,173094,86.6,11731,Won,18,Assam
82,105,Mahmara,Sibsagar,Jogen Mohan,BJP,Bharatiya Janta Party,112157,112157,86,13135,Won,18,Assam
83,99,Majuli,Jorhat,Sarbananda Sonowal,BJP,Bharatiya Janta Party,104707,104707,82.7,43192,Won,18,Assam
84,67,Mangaldoi,Darrang,Basanta Das,INC,Indian National Congress,202144,202144,90.5,24354,Won,18,Assam
85,21,Mankachar,Dhubri,Md. Aminul Islam,AIUDF,All India United Democratic Front,206373,206373,97.4,56840,Won,18,Assam
86,124,Margherita,Tinsukia,Bhaskar Sharma,BJP,Bharatiya Janta Party,150743,150743,81.8,58500,Won,18,Assam
87,70,Majbat,Udalguri,Charan Boro,BPF,Bodoland Peoples Front,126771,126771,86.8,16057,Won,18,Assam
88,115,Moran,Dibrugarh,Chakradhar Gogoi,BJP,Bharatiya Janta Party,110011,110011,82.4,22341,Won,18,Assam
89,101,Mariani,Jorhat,Rupjyoti Kurmi,INC,Indian National Congress,93782,93782,82.3,2446,Won,18,Assam
90,80,Marigaon,Marigaon,Rama Kanta Dewri,BJP,Bharatiya Janta Party,155011,155011,83.9,36532,Won,18,Assam
91,120,Naharkatia,Dibrugarh,Taranga Gogoi,BJP,Bharatiya Janta Party,109582,109582,84.5,14976,Won,18,Assam
92,59,Nalbari,Nalbari,Jayanta Malla Baruah,BJP,Bharatiya Janta Party,178677,178677,89.4,49457,Won,18,Assam
93,110,Naoboicha,Lakhimpur,Bharat Chandra Narah,INC,Indian National Congress,191399,191399,92.6,3613,Won,18,Assam
94,104,Nazira,Sibsagar,Debabrata Saikia,INC,Indian National Congress,108688,108688,87.6,683,Won,18,Assam
95,86,Nowgong,Nagaon,Rupak Sarmah,BJP,Bharatiya Janta Party,154847,154847,87,11083,Won,18,Assam
96,50,Palasbari,Kamrup,Hemanga Thakuria,BJP,Bharatiya Janta Party,130419,130419,87.3,39670,Won,18,Assam
97,64,Panery,Udalguri,Biswajit Daimary,BJP,Bharatiya Janta Party,117104,117104,80.8,35852,Won,18,Assam
98,42,Patacharkuchi,Barpeta,Ranjeet Kumar Dass,BJP,Bharatiya Janta Party,111729,111729,79.4,62853,Won,18,Assam
99,2,Patharkandi,Karimganj,Krishnendu Paul,BJP,Bharatiya Janta Party,149419,149419,86.9,4467,Won,18,Assam
100,82,Raha,Nagaon,Sashi Kanta Das,INC,Indian National Congress,177332,177332,85.6,13058,Won,18,Assam
101,74,Rangapara,Sonitpur,Krishna Kamal Tanti,BJP,Bharatiya Janta Party,129636,129636,83.1,22345,Won,18,Assam
102,57,Rangia,Kamrup,Bhabesh Kalita,BJP,Bharatiya Janta Party,160897,160897,85,20220,Won,18,Assam
103,1,Ratabari,Karimganj,Bijoy Malakar,BJP,Bharatiya Janta Party,135611,135611,83.6,36221,Won,18,Assam
104,85,Rupohihat,Nagaon,Nurul Huda,INC,Indian National Congress,179955,179955,94.7,106352,Won,18,Assam
105,126,Sadiya,Tinsukia,Bolin Chetia,BJP,Bharatiya Janta Party,140657,140657,79.1,22084,Won,18,Assam
106,22,Salmara South,Dhubri,Wazed Ali Choudhury,INC,Indian National Congress,173208,173208,96.8,135574,Won,18,Assam
107,88,Samaguri,Nagaon,Rakibul Hussain,INC,Indian National Congress,138531,138531,88.3,26098,Won,18,Assam
108,46,Sarukhetri,Barpeta,Jakir Hussain Sikdar,INC,Indian National Congress,177615,177615,91.5,29541,Won,18,Assam
109,94,Sarupathar,Golaghat,Biswajit Phukan,BJP,Bharatiya Janta Party,205041,205041,81.6,39359,Won,18,Assam
110,108,Sibsagar,Sibsagar,Akhil Gogoi,OTH,Independent,123580,123580,83.1,11875,Won,18,Assam
111,31,Sidli,Kokrajhar,Joyanta Basumatary,UPPL,United Peoples Party Liberal,169344,169344,81.8,31320,Won,18,Assam
112,9,Silchar,Cachar,Dipayan Chakraborty,BJP,Bharatiya Janta Party,174067,174067,78.7,37578,Won,18,Assam
113,66,Sipajhar,Darrang,Paramananda Rajbongshi,BJP,Bharatiya Janta Party,147179,147179,83.9,7134,Won,18,Assam
114,10,Sonai,Cachar,Karim Uddin Barbhuiya,AIUDF,All India United Democratic Front,146103,146103,84.1,19654,Won,18,Assam
115,106,Sonari,Sibsagar,Dharmeswar Konwar,BJP,Bharatiya Janta Party,142679,142679,84.9,15117,Won,18,Assam
116,75,Sootea,Sonitpur,Padma Hazarika,BJP,Bharatiya Janta Party,147680,147680,81.4,24375,Won,18,Assam
117,40,Sorbhog,Barpeta,Manoranjan Talukdar,CPI(M),Communist Party Of India (Marxist),189564,189564,87.6,10262,Won,18,Assam
118,58,Tamulpur,Nalbari,Leho Ram Boro,UPPL,United Peoples Party Liberal,166017,166017,82.5,32183,Won,18,Assam
119,102,Teok,Jorhat,Renupoma Rajkhowa,AGP,Asom Gana Parisad,101945,101945,79.8,1350,Won,18,Assam
120,73,Tezpur,Sonitpur,Prithiraj Rava,AGP,Asom Gana Parisad,147783,147783,81.6,10123,Won,18,Assam
121,107,Thowra,Sibsagar,Sushanta Borgohain,INC,Indian National Congress,95751,95751,86.9,2006,Won,18,Assam
122,119,Tingkhong,Dibrugarh,Bimal Borah,BJP,Bharatiya Janta Party,117091,117091,85.9,28394,Won,18,Assam
123,122,Tinsukia,Tinsukia,Sanjoy Kishan,BJP,Bharatiya Janta Party,128386,128386,77.6,70797,Won,18,Assam
124,100,Titabar,Jorhat,Bhaskar Jyoti Baruah,INC,Indian National Congress,120013,120013,83,13379,Won,18,Assam
125,69,Udalguri,Udalguri,Gobinda Chandra Basumatari,UPPL,United Peoples Party Liberal,118683,118683,81.2,4851,Won,18,Assam
126,12,Udharbond,Cachar,Mihir Kanti Shome,BJP,Bharatiya Janta Party,128947,128947,85.3,2685,Won,18,Assam
127,12,Alipurduars,Jalpaiguri,Suman Kanjilal,BJP,Bharatiya Janta Party,220751,220751,88.3,16007,Won,19,West Bengal
128,102,Amdanga,North Twenty Four Parganas,Rafiqur Rahaman,TMC,All India Trinamool Congress,209418,209418,90.8,25480,Won,19,West Bengal
129,181,Amta,Haora,Sukanta Kumar Paul,TMC,All India Trinamool Congress,207508,207508,82.2,26205,Won,19,West Bengal
130,200,Arambag,Hugli,Madhusudan Bag,BJP,Bharatiya Janta Party,216789,216789,87.8,7172,Won,19,West Bengal
131,280,Asnsol Dakshin,Barddhaman,Agnimitra Paul,BJP,Bharatiya Janta Party,191271,191271,74,4487,Won,19,West Bengal
132,281,Asansol Uttar,Barddhaman,Ghatak Moloy,TMC,All India Trinamool Congress,189559,189559,74,21110,Won,19,West Bengal
133,101,Ashoknagar,North Twenty Four Parganas,Narayan Goswami,TMC,All India Trinamool Congress,215113,215113,89.2,23532,Won,19,West Bengal
134,273,Ausgram,Barddhaman,Abhedananda Thander,TMC,All India Trinamool Congress,213041,213041,90.2,11815,Won,19,West Bengal
135,99,Baduria,North Twenty Four Parganas,Abdur Rahim Quazi,TMC,All India Trinamool Congress,210930,210930,89.6,56444,Won,19,West Bengal
136,94,Bagda,North Twenty Four Parganas,Biswajit Das,BJP,Bharatiya Janta Party,217771,217771,81.1,9792,Won,19,West Bengal
137,240,Baghmundi,Puruliya,Sushanta Mahato,TMC,All India Trinamool Congress,203917,203917,85.9,13969,Won,19,West Bengal
138,180,Bagnan,Haora,Arunava Sen (Raja),TMC,All India Trinamool Congress,198387,198387,89.1,30120,Won,19,West Bengal
139,72,Baharampur,Murshidabad,Subrata Maitra (Kanchan),BJP,Bharatiya Janta Party,195082,195082,77.8,26852,Won,19,West Bengal
140,54,Baisnabnagar,Maldah,Chandana Sarkar,TMC,All India Trinamool Congress,206947,206947,89.4,2471,Won,19,West Bengal
141,191,Balagarh,Hugli,Manoranjan Bapari,TMC,All India Trinamool Congress,216852,216852,86.9,5784,Won,19,West Bengal
142,239,Balarampur,Puruliya,Baneswar Mahato,BJP,Bharatiya Janta Party,195524,195524,87.1,423,Won,19,West Bengal
143,169,Bally,Haora,Rana Chatterjee,TMC,All India Trinamool Congress,124667,124667,75.1,6237,Won,19,West Bengal
144,161,Ballygunge,Kolkata,Subrata Mukherjee,TMC,All India Trinamool Congress,149645,149645,62.2,75359,Won,19,West Bengal
145,39,Balurghat,Dakshin Dinajpur,Ashok Kumar Lahiri,BJP,Bharatiya Janta Party,150262,150262,87.2,13436,Won,19,West Bengal
146,238,Bandwan,Puruliya,Rajib Lochan Saren,TMC,All India Trinamool Congress,238101,238101,87.3,18831,Won,19,West Bengal
147,96,Bangaon Dakshin,North Twenty Four Parganas,Swapan Majumder,BJP,Bharatiya Janta Party,206292,206292,86.9,2004,Won,19,West Bengal
148,95,Bangaon Uttar,North Twenty Four Parganas,Ashok Kirtania,BJP,Bharatiya Janta Party,203342,203342,84,10488,Won,19,West Bengal
149,252,Bankura,Bankura,Niladri Sekhar Dana,BJP,Bharatiya Janta Party,213479,213479,82.9,1468,Won,19,West Bengal
150,283,Barabani,Barddhaman,Bidhan Upadhyay,TMC,All India Trinamool Congress,166168,166168,77.2,23457,Won,19,West Bengal
151,113,Baranagar,North Twenty Four Parganas,Tapas Roy,TMC,All India Trinamool Congress,157881,157881,75.7,35147,Won,19,West Bengal
152,119,Barasat,North Twenty Four Parganas,Chiranjeet Chakrabarti,TMC,All India Trinamool Congress,223019,223019,84.7,23783,Won,19,West Bengal
153,260,Burdwan Dakshin,Barddhaman,Khokan Das,TMC,All India Trinamool Congress,201638,201638,81.1,8105,Won,19,West Bengal
154,266,Burdwan Uttar,Barddhaman,Nisith Kumar Malik,TMC,All India Trinamool Congress,239529,239529,91.4,17268,Won,19,West Bengal
155,253,Barjora,Bankura,Alok Mukherjee,TMC,All India Trinamool Congress,214549,214549,88.2,3269,Won,19,West Bengal
156,108,Barrackpur,North Twenty Four Parganas,Raju Chakraborty (RAJ),TMC,All India Trinamool Congress,146319,146319,70.4,9222,Won,19,West Bengal
157,140,Baruipur Paschim,South  Twenty Four Parganas,Biman Banerjee,TMC,All India Trinamool Congress,209757,209757,90.1,61910,Won,19,West Bengal
158,137,Baruipur Purba,South  Twenty Four Parganas,Bivas Sardar (VOBO),TMC,All India Trinamool Congress,223259,223259,90.9,49641,Won,19,West Bengal
159,128,Basanti,South  Twenty Four Parganas,Shyamal Mondal,TMC,All India Trinamool Congress,212003,212003,87.8,50642,Won,19,West Bengal
160,124,Basirhat Dakshin,North Twenty Four Parganas,Dr. Saptarshi Banerjee,TMC,All India Trinamool Congress,234048,234048,88.4,24468,Won,19,West Bengal
161,125,Basirhat Uttar,North Twenty Four Parganas,Rafikul Islam Mondal,TMC,All India Trinamool Congress,236474,236474,92.7,89351,Won,19,West Bengal
162,154,Behala Paschim,South  Twenty Four Parganas,Partha Chatterjee,TMC,All India Trinamool Congress,229383,229383,77.6,50884,Won,19,West Bengal
163,153,Behala Purba,South  Twenty Four Parganas,Ratna Chatterjee,TMC,All India Trinamool Congress,219037,219037,76,37428,Won,19,West Bengal
164,71,Beldanga,Murshidabad,Hasanuzzaman Sk,TMC,All India Trinamool Congress,203143,203143,85.3,53832,Won,19,West Bengal
165,164,Beleghata,Kolkata,Paresh Paul,TMC,All India Trinamool Congress,156942,156942,64.7,67140,Won,19,West Bengal
166,159,Bhabanipur,Kolkata,Sobhandeb Chattopadhyay,TMC,All India Trinamool Congress,125806,125806,62.6,28719,Won,19,West Bengal
167,62,Bhagabangola,Murshidabad,Idris Ali,TMC,All India Trinamool Congress,222594,222594,89.4,106008,Won,19,West Bengal
168,214,Bhagabanpur,Purba Medinipur,Rabindranath Maity,BJP,Bharatiya Janta Party,221631,221631,90.2,27549,Won,19,West Bengal
169,148,Bhangar,South  Twenty Four Parganas,Md. Nawsad Siddique,OTH,Rashtriya Secular Majlis Party,238942,238942,94.8,26151,Won,19,West Bengal
170,69,Bharatpur,Murshidabad,Humayun Kabir,TMC,All India Trinamool Congress,186603,186603,79.7,43083,Won,19,West Bengal
171,267,Bhatar,Barddhaman,Adhikari Mangobinda,TMC,All India Trinamool Congress,209822,209822,88.1,31741,Won,19,West Bengal
172,105,Bhatpara,North Twenty Four Parganas,Pawan Kumar Singh,BJP,Bharatiya Janta Party,106037,106037,71,13687,Won,19,West Bengal
173,116,Bidhannagar,North Twenty Four Parganas,Sujit Bose S/o - Late Ajit Bose,TMC,All India Trinamool Congress,159822,159822,69.1,7997,Won,19,West Bengal
174,103,Bijpur,North Twenty Four Parganas,Subodh Adhikary,TMC,All India Trinamool Congress,137869,137869,74.3,13347,Won,19,West Bengal
175,237,Binpur,Paschim Medinipur,Debnath Hansda,TMC,All India Trinamool Congress,185493,185493,85.6,39494,Won,19,West Bengal
176,255,Bishnupur,Bankura,Tanmay Ghosh (BUMBA),BJP,Bharatiya Janta Party,188050,188050,90.2,11420,Won,19,West Bengal
177,146,Bishnupur (SC),South  Twenty Four Parganas,Dilip Mondal,TMC,All India Trinamool Congress,235707,235707,89.1,58832,Won,19,West Bengal
178,286,Bolpur,Birbhum,Sinha Chandranath,TMC,All India Trinamool Congress,226923,226923,87.5,22280,Won,19,West Bengal
179,156,Budge Budge,South  Twenty Four Parganas,Ashok Kumar Deb,TMC,All India Trinamool Congress,214157,214157,88.6,44714,Won,19,West Bengal
180,67,Burwan,Murshidabad,Jiban Krishna Saha,TMC,All India Trinamool Congress,174795,174795,83.5,2749,Won,19,West Bengal
181,138,Canning Paschim,South  Twenty Four Parganas,Paresh Ram Das,TMC,All India Trinamool Congress,215322,215322,89.3,35243,Won,19,West Bengal
182,139,Canning Purba,South  Twenty Four Parganas,Saokat Molla,TMC,All India Trinamool Congress,230499,230499,96.3,53007,Won,19,West Bengal
183,91,Chakdaha,Nadia,Bankim Chandra Ghosh,BJP,Bharatiya Janta Party,210577,210577,89.6,11680,Won,19,West Bengal
184,31,Chakulia,Uttar Dinajpur,Azad Minhajul Arfin,TMC,All India Trinamool Congress,172214,172214,77.8,33837,Won,19,West Bengal
185,187,Champdani,Hugli,Arindam Guin (BUBAI),TMC,All India Trinamool Congress,197784,197784,79.5,30078,Won,19,West Bengal
186,45,Chanchal,Maldah,Nihar Ranjan Ghosh,TMC,All India Trinamool Congress,198656,198656,83.4,67338,Won,19,West Bengal
187,189,Chandannagar,Hugli,Indranil Sen,TMC,All India Trinamool Congress,179155,179155,80.3,31029,Won,19,West Bengal
188,211,Chandipur,Purba Medinipur,Soham Chakraborty,TMC,All India Trinamool Congress,219591,219591,92.4,13472,Won,19,West Bengal
189,194,Chanditala,Hugli,Swati Khandoker,TMC,All India Trinamool Congress,204950,204950,81.1,41347,Won,19,West Bengal
190,232,Chandrakona,Paschim Medinipur,Arup Dhara,TMC,All India Trinamool Congress,246409,246409,91.9,11281,Won,19,West Bengal
191,82,Chapra,Nadia,Rukbanur Rahman,TMC,All India Trinamool Congress,211152,211152,89,12118,Won,19,West Bengal
192,248,Chhatna,Bankura,Satyanarayan Mukhopadhyay,BJP,Bharatiya Janta Party,193322,193322,83,7164,Won,19,West Bengal
193,28,Chopra,Uttar Dinajpur,Hamidul Rahaman,TMC,All India Trinamool Congress,202579,202579,88.2,64905,Won,19,West Bengal
194,162,Chowrangee,Kolkata,Bandyopadhyay Nayna,TMC,All India Trinamool Congress,110281,110281,54.5,45344,Won,19,West Bengal
195,190,Chunchura,Hugli,Asit Mazumder (Tapan),TMC,All India Trinamool Congress,250399,250399,82.3,18417,Won,19,West Bengal
196,4,Cooch Behar Dakshin,Koch Bihar,Nikhil Ranjan Dey,BJP,Bharatiya Janta Party,194041,194041,86.9,4931,Won,19,West Bengal
197,3,Coochbehar Uttar,Koch Bihar,Sukumar Roy,BJP,Bharatiya Janta Party,242346,242346,89.1,14615,Won,19,West Bengal
198,19,Dabgram-Fulbari,Jalpaiguri,Sikha Chatterjee,BJP,Bharatiya Janta Party,255590,255590,90,27593,Won,19,West Bengal
199,219,Dantan,Paschim Medinipur,Bikram Chandra Pradhan,TMC,All India Trinamool Congress,196548,196548,87.4,623,Won,19,West Bengal
200,23,Darjeeling,Darjiling,Neeraj Tamang Zimba,BJP,Bharatiya Janta Party,166035,166035,69.5,21276,Won,19,West Bengal
201,230,Daspur,Paschim Medinipur,Mamata Bhunia,TMC,All India Trinamool Congress,221096,221096,76.4,26842,Won,19,West Bengal
202,229,Debra,Paschim Medinipur,Humayun Kabir,TMC,All India Trinamool Congress,203513,203513,89.9,11226,Won,19,West Bengal
203,120,Deganga,North Twenty Four Parganas,Rahima Mondal,TMC,All India Trinamool Congress,212280,212280,92.1,32537,Won,19,West Bengal
204,197,Dhanekhali,Hugli,Asima Patra,TMC,All India Trinamool Congress,231656,231656,88.1,30159,Won,19,West Bengal
205,15,Dhupguri,Jalpaiguri,Bishnu Pada Ray,BJP,Bharatiya Janta Party,227339,227339,90.3,4355,Won,19,West Bengal
206,143,Diamond Harbour,South  Twenty Four Parganas,Pannalal Halder,TMC,All India Trinamool Congress,223948,223948,92.6,16996,Won,19,West Bengal
207,7,Dinhata,Koch Bihar,Nisith Pramanik,BJP,Bharatiya Janta Party,242214,242214,83.9,57,Won,19,West Bengal
208,184,Domjur,Haora,Kalyan Ghosh,TMC,All India Trinamool Congress,248896,248896,90.2,42620,Won,19,West Bengal
